"app","powerkW","star","Configuration1"
"aircon",0.785,2,"Non Ducted"
"aircon",1.04,2,"Non Ducted"
"aircon",1.72,1,"Non Ducted"
"aircon",2.045,1,"Non Ducted"
"aircon",1.04,1,"Non Ducted"
"aircon",1.72,1,"Non Ducted"
"aircon",2.32,1,"Non Ducted"
"aircon",0.3975,4,"Non Ducted"
"aircon",0.5175,4,"Non Ducted"
"aircon",0.805,3,"Non Ducted"
"aircon",1.28,2,"Non Ducted"
"aircon",1.515,2,"Non Ducted"
"aircon",21.75,0,"Ducted"
"aircon",1.655,2,"Non Ducted"
"aircon",7.92,0,"Ducted"
"aircon",14.7785,0,"Ducted"
"aircon",14.7785,0,"Ducted"
"aircon",14.7785,0,"Ducted"
"aircon",14.7785,0,"Ducted"
"aircon",14.7785,0,"Ducted"
"aircon",14.7785,0,"Ducted"
"aircon",1.45,2,"Non Ducted"
"aircon",1.45,2,"Non Ducted"
"aircon",0.53,0,"Ducted"
"aircon",0.755,0,"Ducted"
"aircon",1.85,0,"Ducted"
"aircon",2.27,0,"Ducted"
"aircon",2.795,0,"Ducted"
"aircon",1.82,2,"Non Ducted"
"aircon",1.82,2,"Non Ducted"
"aircon",0.545,4,"Non Ducted"
"aircon",0.545,4,"Non Ducted"
"aircon",0.83,3,"Non Ducted"
"aircon",0.83,3,"Non Ducted"
"aircon",1.43,2,"Non Ducted"
"aircon",1.43,2,"Non Ducted"
"aircon",1.5,1,"Non Ducted"
"aircon",9,0,"Ducted"
"aircon",2.125,0,"Ducted"
"aircon",3.955,0,"Non Ducted"
"aircon",2.595,0,"Ducted"
"aircon",10.459,0,"Ducted"
"aircon",10.459,0,"Ducted"
"aircon",1.17,1,"Non Ducted"
"aircon",1.585,0,"Non Ducted"
"aircon",3.29,0,"Non Ducted"
"aircon",3.287,0,"Non Ducted"
"aircon",4.64,0,"Non Ducted"
"aircon",1.525,1,"Non Ducted"
"aircon",0.625,3,"Non Ducted"
"aircon",0.625,3,"Non Ducted"
"aircon",0.625,3,"Non Ducted"
"aircon",0.935,2,"Non Ducted"
"aircon",0.935,2,"Non Ducted"
"aircon",0.935,2,"Non Ducted"
"aircon",0.835,3,"Non Ducted"
"aircon",1.37,2,"Non Ducted"
"aircon",0.86,3,"Non Ducted"
"aircon",2.175,2,"Non Ducted"
"aircon",1.37,2,"Non Ducted"
"aircon",1.37,2,"Non Ducted"
"aircon",1.565,1,"Non Ducted"
"aircon",1.565,1,"Non Ducted"
"aircon",1.565,1,"Non Ducted"
"aircon",1.585,2,"Non Ducted"
"aircon",2.505,1,"Non Ducted"
"aircon",2.165,1,"Non Ducted"
"aircon",2.485,1,"Non Ducted"
"aircon",3.765,1,"Non Ducted"
"aircon",4.225,1,"Non Ducted"
"aircon",0.705,2,"Non Ducted"
"aircon",0.705,2,"Non Ducted"
"aircon",0.705,2,"Non Ducted"
"aircon",0.99,2,"Non Ducted"
"aircon",0.99,2,"Non Ducted"
"aircon",0.99,2,"Non Ducted"
"aircon",1.69,1,"Non Ducted"
"aircon",1.69,1,"Non Ducted"
"aircon",1.69,1,"Non Ducted"
"aircon",1.93,1,"Non Ducted"
"aircon",1.93,1,"Non Ducted"
"aircon",1.93,1,"Non Ducted"
"aircon",0.67,2,"Non Ducted"
"aircon",7.25,0,"Ducted"
"aircon",12,0,"Ducted"
"aircon",3.85,1,"Non Ducted"
"aircon",0.94,0,"Ducted"
"aircon",1.21,0,"Ducted"
"aircon",3.12,0,"Ducted"
"aircon",1.55,0,"Ducted"
"aircon",2.58,0,"Ducted"
"aircon",8.95,0,"Ducted"
"aircon",2.375,0,"Ducted"
"aircon",2.49,0,"Ducted"
"aircon",1.93,2,"Non Ducted"
"aircon",0.84,2,"Non Ducted"
"aircon",1.945,2,"Non Ducted"
"aircon",2.625,2,"Non Ducted"
"aircon",2.925,1,"Non Ducted"
"aircon",3.69,1,"Non Ducted"
"aircon",3.69,0,"Non Ducted"
"aircon",0.475,4,"Non Ducted"
"aircon",0.57,4,"Non Ducted"
"aircon",0.79,3,"Non Ducted"
"aircon",1.165,2,"Non Ducted"
"aircon",1.235,3,"Non Ducted"
"aircon",1.63,2,"Non Ducted"
"aircon",1.975,2,"Non Ducted"
"aircon",0.675,3,"Non Ducted"
"aircon",1.51,2,"Non Ducted"
"aircon",0.67,2,"Non Ducted"
"aircon",0.965,2,"Non Ducted"
"aircon",1.535,2,"Non Ducted"
"aircon",2,1,"Non Ducted"
"aircon",2.105,1,"Non Ducted"
"aircon",3.25,1,"Non Ducted"
"aircon",2.2,1,"Non Ducted"
"aircon",2.465,2,"Non Ducted"
"aircon",6.26,0,"Ducted"
"aircon",3.24,0,"Ducted"
"aircon",2.825,0,"Ducted"
"aircon",8.03,0,"Ducted"
"aircon",3.915,0,"Ducted"
"aircon",4.565,0,"Ducted"
"aircon",5.9,0,"Ducted"
"aircon",2.015,0,"Ducted"
"aircon",0.7,3,"Non Ducted"
"aircon",1.005,2,"Non Ducted"
"aircon",1.395,2,"Non Ducted"
"aircon",2.1,2,"Non Ducted"
"aircon",1.96,2,"Non Ducted"
"aircon",2.695,2,"Non Ducted"
"aircon",3.795,2,"Non Ducted"
"aircon",4.345,1,"Non Ducted"
"aircon",1.955,0,"Ducted"
"aircon",0.705,0,"Non Ducted"
"aircon",1.33,0,"Non Ducted"
"aircon",2.5,0,"Ducted"
"aircon",3.79,0,"Ducted"
"aircon",3.325,0,"Ducted"
"aircon",7.805,0,"Ducted"
"aircon",3.79,0,"Ducted"
"aircon",4.17,0,"Ducted"
"aircon",3.295,0,"Ducted"
"aircon",3.165,0,"Ducted"
"aircon",2.27,0,"Non Ducted"
"aircon",7.599,0,"Ducted"
"aircon",7.599,0,"Ducted"
"aircon",8.235,0,"Ducted"
"aircon",2.3,1,"Non Ducted"
"aircon",1.92,1,"Non Ducted"
"aircon",1.56,1,"Non Ducted"
"aircon",0.95,2,"Non Ducted"
"aircon",0.725,2,"Non Ducted"
"aircon",2.95,0,"Ducted"
"aircon",1.11,0,"Ducted"
"aircon",1.625,0,"Ducted"
"aircon",2.25,0,"Ducted"
"aircon",2.675,0,"Ducted"
"aircon",1.3,0,"Ducted"
"aircon",1.77,0,"Ducted"
"aircon",12.875,0,"Ducted"
"aircon",10.36,0,"Ducted"
"aircon",15.965,0,"Ducted"
"aircon",8.175,0,"Ducted"
"aircon",5.99,0,"Ducted"
"aircon",3.395,0,"Ducted"
"aircon",2.5715,0,"Ducted"
"aircon",4.155,0,"Ducted"
"aircon",5.065,0,"Ducted"
"aircon",4.4,1,"Non Ducted"
"aircon",2.43,2,"Non Ducted"
"aircon",2.43,2,"Non Ducted"
"aircon",2.43,2,"Non Ducted"
"aircon",15.6,0,"Ducted"
"aircon",2.3,1,"Non Ducted"
"aircon",2.3,0,"Non Ducted"
"aircon",3.25,0,"Non Ducted"
"aircon",3.85,0,"Non Ducted"
"aircon",4.4,0,"Non Ducted"
"aircon",1.415,0,"Ducted"
"aircon",1.7,0,"Ducted"
"aircon",6.65,0,"Ducted"
"aircon",5.48,0,"Ducted"
"aircon",9.465,0,"Ducted"
"aircon",0.685,3,"Non Ducted"
"aircon",0.685,3,"Non Ducted"
"aircon",0.685,3,"Non Ducted"
"aircon",0.935,2,"Non Ducted"
"aircon",0.935,2,"Non Ducted"
"aircon",0.935,2,"Non Ducted"
"aircon",9.525,0,"Ducted"
"aircon",1.95,0,"Ducted"
"aircon",2.655,0,"Ducted"
"aircon",5.75,0,"Ducted"
"aircon",5.75,0,"Ducted"
"aircon",5.75,0,"Ducted"
"aircon",5.75,0,"Ducted"
"aircon",5.75,0,"Ducted"
"aircon",7.2,0,"Ducted"
"aircon",7.2,0,"Ducted"
"aircon",7.2,0,"Ducted"
"aircon",7.2,0,"Ducted"
"aircon",7.2,0,"Ducted"
"aircon",3.57,0,"Ducted"
"aircon",4.39,0,"Ducted"
"aircon",1.55,0,"Ducted"
