"app","powerkW","star","internal_heater","Type","Test.Prog.Time"
"clothes_washer",1.20547945205479,2,"No","Non-Drum",45
"clothes_washer",1.51780821917808,2,"No","Non-Drum",45
"clothes_washer",1.27123287671233,2,"No","Non-Drum",45
"clothes_washer",0.778082191780822,4,"No","Non-Drum",47
"clothes_washer",1.53972602739726,2,"No","Non-Drum",44
"clothes_washer",1.59178082191781,2,"No","Non-Drum",45
"clothes_washer",1.30684931506849,3,"No","Non-Drum",49
"clothes_washer",0.879452054794521,4,"No","Non-Drum",55
"clothes_washer",1.81369863013699,2,"No","Non-Drum",63.61
"clothes_washer",1.62465753424658,2,"No","Non-Drum",62.18
"clothes_washer",1.76712328767123,2,"No","Non-Drum",47
"clothes_washer",1.2986301369863,2,"No","Non-Drum",40
"clothes_washer",1.29315068493151,2,"No","Non-Drum",38
"clothes_washer",0.879452054794521,4,"No","Non-Drum",55
"clothes_washer",0.879452054794521,4,"No","Non-Drum",55
"clothes_washer",0.852054794520548,4,"No","Non-Drum",54
"clothes_washer",0.852054794520548,4,"No","Non-Drum",54
"clothes_washer",1.53972602739726,2,"No","Non-Drum",44
"clothes_washer",1.53972602739726,2,"No","Non-Drum",44
"clothes_washer",1.27123287671233,2,"No","Non-Drum",45
"clothes_washer",1.27123287671233,2,"No","Non-Drum",45
"clothes_washer",1.5041095890411,2,"No","Non-Drum",56
"clothes_washer",0.931506849315068,3,"Yes on the warm wash program only","Drum",3.09
"clothes_washer",0.76986301369863,3,"Yes on the warm wash program only","Drum",189
"clothes_washer",2.19452054794521,2,"No","Non-Drum",116
"clothes_washer",1.98630136986301,2,"No","Non-Drum",107.08
"clothes_washer",2.08767123287671,2,"No","Non-Drum",81.7
"clothes_washer",1.08767123287671,2,"Yes on the warm wash program only","Drum",278.52
"clothes_washer",0.802739726027397,4,"Yes on the warm wash program only","Drum",224
"clothes_washer",0.802739726027397,4,"Yes on the warm wash program only","Drum",224
"clothes_washer",0.802739726027397,4,"Yes on the warm wash program only","Drum",224
"clothes_washer",0.767123287671233,4,"No","Drum",238
"clothes_washer",0.956164383561644,4,"Yes on both the warm and cold wash programs","Drum",362.11
"clothes_washer",0.956164383561644,4,"Yes on both the warm and cold wash programs","Drum",362.11
"clothes_washer",1.27945205479452,4,"Yes on the warm wash program only","Drum",188
"clothes_washer",0.882191780821918,3,"Yes on the warm wash program only","Drum",199
"clothes_washer",1.88767123287671,2,"No","Non-Drum",153.47
"clothes_washer",1.48767123287671,2,"Yes on the warm wash program only","Drum",325
"clothes_washer",0.416438356164384,5,"Yes on both the warm and cold wash programs","Drum",192
"clothes_washer",0.408219178082192,5,"Yes on both the warm and cold wash programs","Drum",192
"clothes_washer",0.668493150684932,4,"Yes on both the warm and cold wash programs","Drum",192
"clothes_washer",0.413698630136986,5,"Yes on both the warm and cold wash programs","Drum",189
"clothes_washer",1.26575342465753,4,"No","Non-Drum",116
"clothes_washer",1.33972602739726,2,"No","Non-Drum",68
"clothes_washer",0.679452054794521,4,"Yes on the warm wash program only","Drum",239
"clothes_washer",1.56986301369863,2,"No","Non-Drum",148.77
"clothes_washer",0.86027397260274,4,"Yes on both the warm and cold wash programs","Drum",192
"clothes_washer",1.42739726027397,4,"Yes on both the warm and cold wash programs","Drum",192
"clothes_washer",1.42739726027397,4,"Yes on both the warm and cold wash programs","Drum",192
"clothes_washer",1.42739726027397,4,"Yes on both the warm and cold wash programs","Drum",192
"clothes_washer",1.42739726027397,4,"Yes on both the warm and cold wash programs","Drum",192
"clothes_washer",1.21095890410959,3,"Yes on the warm wash program only","Drum",350
"clothes_washer",1.26027397260274,3,"Yes on the warm wash program only","Drum",325.3
"clothes_washer",1.45753424657534,2,"No","Non-Drum",60
"clothes_washer",1.63835616438356,2,"No","Non-Drum",60
"clothes_washer",2.3013698630137,3,"Yes on the warm wash program only","Non-Drum",259
"clothes_washer",2.3013698630137,3,"Yes on the warm wash program only","Non-Drum",259
"clothes_washer",2.3013698630137,3,"Yes on the warm wash program only","Non-Drum",259
"clothes_washer",0.958904109589041,2,"No","Non-Drum",52.7
"clothes_washer",1,2,"No","Non-Drum",84
"clothes_washer",1.0958904109589,4,"Yes on the warm wash program only","Drum",288
"clothes_washer",2.3013698630137,3,"Yes on the warm wash program only","Non-Drum",259
"clothes_washer",2.3013698630137,3,"Yes on the warm wash program only","Non-Drum",259
"clothes_washer",2.3013698630137,3,"Yes on the warm wash program only","Non-Drum",259
"clothes_washer",0.978082191780822,4,"Yes on the warm wash program only","Drum",291
"clothes_washer",2.61369863013699,2,"No","Non-Drum",63.3
"clothes_washer",1.93972602739726,2,"No","Non-Drum",82.17
"clothes_washer",0.684931506849315,4,"Yes on both the warm and cold wash programs","Drum",122
"clothes_washer",0.931506849315068,2,"Yes on the warm wash program only","Drum",152
