"hour","variable_rate_category","variable_rate_cents_per_kWh","fixed_rate_cents_per_kWh","daily_supply_charge_cents"
0,"offPeak",15.1002,28.8229,103.3263
1,"offPeak",15.1002,28.8229,0
2,"offPeak",15.1002,28.8229,0
3,"offPeak",15.1002,28.8229,0
4,"offPeak",15.1002,28.8229,0
5,"offPeak",15.1002,28.8229,0
6,"offPeak",15.1002,28.8229,0
7,"shoulder",28.7076,28.8229,0
8,"shoulder",28.7076,28.8229,0
9,"shoulder",28.7076,28.8229,0
10,"shoulder",28.7076,28.8229,0
11,"shoulder",28.7076,28.8229,0
12,"shoulder",28.7076,28.8229,0
13,"shoulder",28.7076,28.8229,0
14,"shoulder",28.7076,28.8229,0
15,"peak",54.8142,28.8229,0
16,"peak",54.8142,28.8229,0
17,"peak",54.8142,28.8229,0
18,"peak",54.8142,28.8229,0
19,"peak",54.8142,28.8229,0
20,"peak",54.8142,28.8229,0
21,"offPeak",15.1002,28.8229,0
22,"offPeak",15.1002,28.8229,0
23,"offPeak",15.1002,28.8229,0
