"powerkW","app"
"0.035","lights_incandescent"
"0.035","lights_incandescent"
"0.035","lights_incandescent"
"0.02","lights_incandescent"
"0.02","lights_incandescent"
"0.02","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.042","lights_incandescent"
"0.042","lights_incandescent"
"0.042","lights_incandescent"
"0.053","lights_incandescent"
"0.053","lights_incandescent"
"0.053","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.042","lights_incandescent"
"0.042","lights_incandescent"
"0.042","lights_incandescent"
"0.053","lights_incandescent"
"0.053","lights_incandescent"
"0.053","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.035","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.035","lights_incandescent"
"0.035","lights_incandescent"
"0.035","lights_incandescent"
"0.042","lights_incandescent"
"0.042","lights_incandescent"
"0.042","lights_incandescent"
"0.029","lights_incandescent"
"0.029","lights_incandescent"
"0.029","lights_incandescent"
"0.029","lights_incandescent"
"0.029","lights_incandescent"
"0.029","lights_incandescent"
"0.01","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.053","lights_incandescent"
"0.053","lights_incandescent"
"0.053","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.05","lights_incandescent"
"0.02","lights_incandescent"
"0.02","lights_incandescent"
"0.0431","lights_incandescent"
"0.0431","lights_incandescent"
"0.0431","lights_incandescent"
"0.08","lights_incandescent"
"0.08","lights_incandescent"
"0.08","lights_incandescent"
"0.02","lights_incandescent"
"0.037","lights_incandescent"
"0.037","lights_incandescent"
"0.037","lights_incandescent"
"0.0534","lights_incandescent"
"0.0534","lights_incandescent"
"0.0534","lights_incandescent"
"0.07","lights_incandescent"
"0.07","lights_incandescent"
"0.07","lights_incandescent"
"0.0288","lights_incandescent"
"0.0288","lights_incandescent"
"0.0288","lights_incandescent"
"0.0288","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.042","lights_incandescent"
"0.042","lights_incandescent"
"0.042","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.0768","lights_incandescent"
"0.0768","lights_incandescent"
"0.0768","lights_incandescent"
"0.0565","lights_incandescent"
"0.0565","lights_incandescent"
"0.0565","lights_incandescent"
"0.045","lights_incandescent"
"0.045","lights_incandescent"
"0.045","lights_incandescent"
"0.0285","lights_incandescent"
"0.0285","lights_incandescent"
"0.0285","lights_incandescent"
"0.0285","lights_incandescent"
"0.0285","lights_incandescent"
"0.053","lights_incandescent"
"0.053","lights_incandescent"
"0.053","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.053","lights_incandescent"
"0.053","lights_incandescent"
"0.053","lights_incandescent"
"0.2","lights_incandescent"
"0.028","lights_incandescent"
"0.018","lights_incandescent"
"0.035","lights_incandescent"
"0.042","lights_incandescent"
"0.042","lights_incandescent"
"0.042","lights_incandescent"
"0.053","lights_incandescent"
"0.053","lights_incandescent"
"0.053","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.072","lights_incandescent"
"0.016","lights_incandescent"
"0.016","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.01","lights_incandescent"
"0.01","lights_incandescent"
"0.01","lights_incandescent"
"0.052","lights_incandescent"
"0.052","lights_incandescent"
"0.052","lights_incandescent"
"0.07","lights_incandescent"
"0.07","lights_incandescent"
"0.07","lights_incandescent"
"0.01","lights_incandescent"
"0.01","lights_incandescent"
"0.02","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.018","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.02","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.028","lights_incandescent"
"0.035","lights_incandescent"
"0.035","lights_incandescent"
