"app","powerkW","star","screensize","Screen_Tech","Power.supply","Tuner.Type"
"television",1.31232876712329,1,80.103,"LCD","","Analogue"
"television",0.13972602739726,0,39.491,"LCD (LED)","EPS","Digital"
"television",0.208219178082192,0,47.013,"LCD (LED)","EPS","Digital"
"television",0.246575342465753,0,54.687,"LCD (LED)","EPS","Digital"
"television",0.243835616438356,4,80.103,"LCD (LED)","Internal","Digital"
"television",0.249315068493151,2,54.687,"LCD (LED)","Internal","Digital"
"television",0.208219178082192,2,47.013,"LCD (LED)","EPS","Digital"
"television",0.246575342465753,2,47.013,"LCD (LED)","Internal","Digital"
"television",0.287671232876712,2,59.81,"LCD (LED)","EPS","Digital"
"television",0.287671232876712,2,59.81,"LCD (LED)","EPS","Digital"
"television",0.567123287671233,3,107.987,"LCD (LED)","Internal","Analogue/Digital"
"television",0.567123287671233,3,107.987,"LCD (LED)","Internal","Analogue/Digital"
"television",0.567123287671233,3,107.987,"LCD (LED)","Internal","Analogue/Digital"
"television",0.638356164383562,4,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.958904109589041,3,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.380821917808219,3,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.380821917808219,3,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.380821917808219,3,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.323287671232877,3,80.039,"LCD (LED)","Internal","Analogue/Digital"
"television",0.249315068493151,2,49.389,"LCD (LED)","EPS","Analogue/Digital"
"television",0.252054794520548,2,54.687,"LCD (LED)","EPS","Analogue/Digital"
"television",0.356164383561644,3,80.039,"LCD (LED)","Internal","Analogue/Digital"
"television",0.317808219178082,2,59.809,"LCD (LED)","EPS","Analogue/Digital"
"television",0.36986301369863,3,80.039,"LCD (LED)","Internal","Analogue/Digital"
"television",0.452054794520548,3,97.799,"LCD (LED)","Internal","Analogue/Digital"
"television",1.58630136986301,2,146.477,"LCD","Internal","Analogue/Digital"
"television",0.917808219178082,2,125.143,"LCD (LED)","Internal","Analogue/Digital"
"television",0.767123287671233,3,125.731,"LCD (LED)","Internal","Analogue/Digital"
"television",1.42465753424658,2,138.783,"LCD (LED)","Internal","Analogue/Digital"
"television",0.391780821917808,3,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.391780821917808,3,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.391780821917808,3,80.043,"LCD (LED)","Internal","Analogue/Digital"
"television",0.279452054794521,2,59.827,"LCD (LED)","EPS","Analogue/Digital"
"television",0.279452054794521,2,59.827,"LCD (LED)","EPS","Analogue/Digital"
"television",0.279452054794521,2,59.827,"LCD (LED)","EPS","Analogue/Digital"
