ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Variable Output Compressor,Star Image Large,Star Image Small,Registration Number,Is variable speed,Type variable output,Var output compressor,Variable output rated as fixed sp,No HSPF,Rated Total Cool Capacity W,Rated cooling power input kW,Have T1 half cap results,T1_half_cap_power_rated,T1_half_cap_cooling_cap_rated,Have T1 min cap results,T1_min_cap_power_rated,T1_min_cap_cooling_cap_rated,Have low temp cool full cap results,Low temp cooling full cap power rated,Low temp cooling full cap rated,Have low temp cool half cap results,Low temp cooling half cap power rated,Low temp cooling half cap rated,Have low temp cool min cap results,Low temp cooling min cap power rated,Low temp cooling min cap rated,Rated Heating Capacity watts,Rated heating power input kW,H1_half_cap_power_rated,H1_half_cap_heat_cap_rated,Have H1 min cap results,H1_min_cap_power_rated,H1_min_cap_heat_cap_rated,Have H2 extended mode results,H2_ext_cap_power_rated,H2_ext_cap_heat_cap_rated,Have H2 full mode results,H2_full_cap_power_rated,H2_full_cap_heat_cap_rated,Have H2 half capacity results,H2_half_cap_power_rated,H2_half_cap_heat_cap_rated,Have H2 min capacity results,H2_min_cap_power_rated,H2_min_cap_heat_cap_rated,Have H3 extended mode results,H3_ext_cap_power_rated,H3_ext_cap_heat_cap_rated,Have H3 full mode results,H3_full_cap_power_rated,H3_full_cap_heat_cap_rated,Have H3 half capacity results,H3_half_cap_power_rated,H3_half_cap_heat_cap_rated,indoor_sound_level,outdoor_sound_level,Residential TCSPF_cold,Residential TCSPF_mixed,Residential TCSPF_hot,Commercial TCSPF_cold,Commercial TCSPF_mixed,Commercial TCSPF_hot,Residential tcec_cold,Residential tcec_mixed,Residential tcec_hot,Commercial tcec_cold,Commercial tcec_mixed,Commercial tcec_hot,c_star_cold,c_star_mixed,c_star_hot,Residential HSPF_cold,Residential HSPF_mixed,Residential HSPF_hot,Commercial HSPF_cold,Commercial HSPF_mixed,Commercial HSPF_hot,Residential thec_cold,Residential thec_mixed,Residential thec_hot,Commercial thec_cold,Commercial thec_mixed,Commercial thec_hot,h_star_cold,h_star_mixed,h_star_hot,Outdoor unit only,Have_water_tank,Rated cool power input with water,Rated cool cap with water W,Rated cool cap with water kW,Residential tcec_cold with water,Residential tcec_mixed with water,Residential tcec_hot with water,PIA inoperative power,Rated AEER,Rated ACOP
AS/NZS 3823.2:2001 (Legacy),2001,AS/NZS 3823.3:2002,OSA264 / ISD265,,,TEMPERZONE,5.01,Ducted,Single Split System,,Air,Air,Japan,9.3,20.04,25.05,650.0,,,,1025.0,7.93,27.0,,,,,100.0,,,,,,2.694,,,,,,,,,,,,Three,,"Australia,New Zealand",13281,,2007-09-30,Superseded,Reverse Cycle,1240.0,Class 11,,,,,,,,,Available,,,,,False,,,ZAC0004,,,,,,,9.3,,,,,,,,,,,,,,,,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/NZS 3823.2:2001 (Legacy),2001,AS/NZS 3823.3:2002,OSA148 / ISD150,,,TEMPERZONE,2.8,Ducted,Single Split System,,Air,Air,New Zealand,5.35,11.2,14.0,515.0,,,,960.0,4.4,14.9,,2.498,,False,,,,,,,2.498,,,,,,,,,,,,Three,R22,"Australia,New Zealand",14903,,2007-09-30,Superseded,Reverse Cycle,1090.0,Class 7,,,,,,,,2.498,Available,,,,,False,,,ZAC0015,,,,,,,5.35,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.3:2002,OSA147/ISD150,,,TEMPERZONE,2.8,Ducted,Single Split System,,Air,Air,New Zealand,5.35,11.2,14.0,515.0,,,,960.0,4.4,14.9,,2.5,,False,,,,,,,2.5,,,,,,,,,,,,Single,R22,"Australia,New Zealand",14954,,2007-09-30,Superseded,Reverse Cycle,1090.0,Class 7,,,,,,,,2.5,Available,,,,,False,,,ZAC0037,,,,,,,5.35,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/NZS 3823.2:2001 (Legacy),2006,AS/NZS 3823.1.1:1998,KFR-27GW/T,,,EXPERTAIR,0.71,Non Ducted,Single Split System,,Air,Air,China,1.12,1.99,2.7,814.0,,,,278.0,1.11,3.0,,2.57,2.78,False,,,,,,,2.57,,,,,,,,,,,,Single,R22,New Zealand,15609,,2006-07-01,Superseded,Reverse Cycle,190.0,Class 3,,,,,,,,2.57,Available,2.5,2.5,,,False,,,ZAC0022b,,,,,,,1.12,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/NZS 3823.2:2003 (Legacy),2001,AS/NZS 3823.1.1:1998,42/38 GCL 070H9,,,CARRIER,5.2,Non Ducted,Single Split System,,Air,Air,Israel,6.04,9.7,14.9,400.0,,,,640.0,5.46,15.54,,2.47,2.84,False,,,,,,,2.47,,,,,,,,,,,,Three,R22,New Zealand,15878,,2007-09-30,Superseded,Reverse Cycle,1140.0,Class 5,,,,,,,,2.47,Available,2,2,,,False,,,ZAC0054,,,,,,,6.04,,,,,,,,,,,,,,,,,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/NZS 3823.2:2003 (Legacy),2001,AS/NZS 3823.1.1:1998,42/38 GCL 050H9,,,CARRIER,3.69,Non Ducted,Single Split System,,Air,Air,Israel,3.75,6.57,10.03,320.0,,,,640.0,3.6,10.55,,2.67,2.93,False,,,,,,,2.67,,,,,,,,,,,,Three,R22,New Zealand,15880,,2007-09-30,Superseded,Reverse Cycle,1100.0,Class 5,,,,,,,,2.67,Available,3,3,,,False,,,ZAC0053,,,,,,,3.75,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/NZS 3823.2:2003 (Legacy),2001,AS/NZS 3823.1.1:1998,42/38 GCL 060H9,,,CARRIER,4.47,Non Ducted,Single Split System,,Air,Air,Israel,5.0,8.31,12.78,400.0,,,,640.0,4.17,13.481,,2.55,3.43,False,,,,,,,2.55,,,,,,,,,,,,Three,R22,New Zealand,15883,,2007-09-30,Superseded,Reverse Cycle,1140.0,Class 5,,,,,,,,2.55,Available,2,3,,,False,,,ZAC0050,,,,,,,5.0,,,,,,,,,,,,,,,,,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,ASW-H12A4/HSA,,,MZB,3.4,Non Ducted,Single Split System,,Air,Air,China,3.19,2.427,3.2,,,,,,1.31,3.8,,2.459,2.813,False,,,,,,,2.459,,,,,,,,,,,,Single,R22,New Zealand,16174,,2006-07-01,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.459,Available,2.5,2.5,,,False,,,ZAC0035,,,,,,,3.19,,,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,TA-18C(H)S,,,TOYO,0.0,Non Ducted,Single Split System,,Air,Air,China,1.97,5.1,5.1,240.0,,,,288.0,1.91,5.2,,2.7,2.8,False,,,,,,,2.7,,,,,,,,,,,,Single,R407,New Zealand,16197,,2006-06-16,Superseded,Reverse Cycle,790.0,Class 4,,,,,,,,2.7,Available,2.8,2.723,,,False,,,ZAC0066,,,,,,,1.97,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,ASW-H18B4/HSA,,,MZB,5.3,Non Ducted,Single Split System,,Air,Air,China,2.0,4.081,5.3,,,,,,2.0,5.8,,2.794,2.809,False,,,,,,,2.794,,,,,,,,,,,,Single,R22,New Zealand,16211,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.794,Available,3.5,2.5,,,False,,,ZAC0036,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
