app,active,category,room,data_source_link,data_download_date,attribute_notes_html_link,attribute_notes_docx_link,attribute_notes_download_date,energy_units_kW,hrs_per_use,per_use_multiplier,use_per_day,expected_use_W,star,df_id,notes
desktop,Y,Media/communication,lounge/kitchen,,25/09/2020,,,,hour,4,4,1,200-500,FALSE,co,"estimated, not sourced from products"
kettle,Y,Cooking,lounge/kitchen,,25/09/2020,,,,hour,0.05,0.05,5,1200-3000,FALSE,,
microwave,Y,Cooking,lounge/kitchen,,25/09/2020,,,,hour,0.1,0.1,1,600-1700,FALSE,,
mobile,Y,Media/communication,lounge/kitchen,,25/09/2020,,,,hour,1,1,1,4-Jul,FALSE,,
oven,Y,Cooking,lounge/kitchen,,25/09/2020,,,,hour,1,1,1,1200-2150,FALSE,,electric
stove,Y,Cooking,lounge/kitchen,,25/09/2020,,,,hour,1,1,1,2000,FALSE,,"electric, per individual element (average of 4 element total)"
toaster,Y,Cooking,lounge/kitchen,,25/09/2020,,,,hour,0.05,0.05,1,800-1800,FALSE,,
vacuum,Y,Washing/cleaning,lounge/kitchen,,25/09/2020,,,,hour,1,1,1,450-1000,FALSE,,
aircon,Y,Temperature control,lounge/kitchen,https://reg.energyrating.gov.au/comparator/product_types/64/search/?expired_products=on&export_format=csv,23/09/2020,https://reg.energyrating.gov.au/comparator/product_types/64/heading_help/,https://reg.energyrating.gov.au/static/erws_comparator/common/comparator/Air_Conditioners.8143c7511123.docx,23/09/2020,hour,2,2,2,2600,TRUE,ac,
clothes_dryer,Y,Washing/cleaning,bathroom/laundry,https://reg.energyrating.gov.au/comparator/product_types/35/search/?expired_products=on&export_format=csv,23/09/2020,https://reg.energyrating.gov.au/comparator/product_types/35/heading_help/,https://reg.energyrating.gov.au/static/erws_comparator/common/comparator/Clothes_Dryers.8abb50484304.docx,23/09/2020,use,3.5,1,1,1000-4000,TRUE,cd,
lights_flourescent_compact,Y,Lighting,all,https://reg.energyrating.gov.au/comparator/product_types/61/search/?expired_products=on&export_format=csv,23/09/2020,https://reg.energyrating.gov.au/comparator/product_types/61/heading_help/,,,hour,6,6,1,20,FALSE,cf,
clothes_washer,Y,Washing/cleaning,bathroom/laundry,https://reg.energyrating.gov.au/comparator/product_types/49/search/?expired_products=on&export_format=csv,23/09/2020,https://reg.energyrating.gov.au/comparator/product_types/49/heading_help/,https://reg.energyrating.gov.au/static/erws_comparator/common/comparator/Clothes_Washers.196471c004b4.docx,23/09/2020,use,3.45,1,1,500-1800,TRUE,cw,
dishwasher,Y,Washing/cleaning,lounge/kitchen,https://reg.energyrating.gov.au/comparator/product_types/41/search/?expired_products=on&export_format=csv,23/09/2020,https://reg.energyrating.gov.au/comparator/product_types/41/search/?expired_products=on,https://reg.energyrating.gov.au/static/erws_comparator/common/comparator/Dishwashers.77af556a5323.docx,23/09/2020,use,2.7,1,1,1200-1500,TRUE,dw,
lights_flourescent_linear,Y,Lighting,all,https://reg.energyrating.gov.au/comparator/product_types/34/search/?expired_products=on&export_format=csv,23/09/2020,https://reg.energyrating.gov.au/comparator/product_types/34/heading_help/,,,hour,6,6,1,20,FALSE,lf,
hotwater_electric,Y,Bathing,bathroom/laundry,https://reg.energyrating.gov.au/comparator/product_types/58/search/?expired_products=on&export_format=csv,23/09/2020,,,,day,0.25,1,2,3800,FALSE,hw,
lights_incandescent,Y,Lighting,all,https://reg.energyrating.gov.au/comparator/product_types/40/search/?expired_products=on&export_format=csv,23/09/2020,https://reg.energyrating.gov.au/comparator/product_types/40/heading_help/,,,hour,6,6,1,100,FALSE,in,
computer_monitor,Y,Media/communication,lounge/kitchen,https://reg.energyrating.gov.au/comparator/product_types/74/search/?expired_products=on&export_format=csv,23/09/2020,https://reg.energyrating.gov.au/comparator/product_types/74/heading_help/,https://reg.energyrating.gov.au/static/erws_comparator/common/comparator/Computer_Monitors.90fd2209fd7e.docx,23/09/2020,day,4,1,1,100,TRUE,mo,
fridge_freezer,Y,Food storage,lounge/kitchen,https://reg.energyrating.gov.au/comparator/product_types/28/search/?expired_products=on&export_format=csv,23/09/2020,https://reg.energyrating.gov.au/comparator/product_types/28/heading_help/,https://reg.energyrating.gov.au/static/erws_comparator/common/comparator/Refrigerators_and_Freezers.b47fd46f2230.docx,23/09/2020,day,24,1,1,150-400,TRUE,rf,
television,Y,Media/communication,lounge/kitchen,https://reg.energyrating.gov.au/comparator/product_types/32/search/?expired_products=on&export_format=csv,23/09/2020,https://reg.energyrating.gov.au/comparator/product_types/32/heading_help/,https://reg.energyrating.gov.au/static/erws_comparator/common/comparator/Televisions.c78152302b90.docx,23/09/2020,day,10,1,1,150,TRUE,tv,
car/bike/transport,N,,garage/outside,,,,,,,NA,NA,NA,,FALSE,,
closed_control,Y,,lounge/kitchen,https://reg.energyrating.gov.au/comparator/product_types/60/search/?expired_products=on&export_format=csv,23/09/2020,https://reg.energyrating.gov.au/comparator/product_types/60/heading_help/,https://reg.energyrating.gov.au/static/erws_comparator/common/comparator/Close_Control_Air_Conditioners.a0e94857ffb2.docx,23/09/2020,hour,4,4,1,1000-4000,FALSE,cc,
fan,N,,lounge/kitchen,,,,,,,NA,NA,NA,,NA,,
game console,N,,lounge/kitchen,,,,,,,NA,NA,NA,,NA,,
hot water - gas,N,,bathroom/laundry,https://reg.energyrating.gov.au/comparator/product_types/62/search/?expired_products=on&export_format=csv,23/09/2020,https://reg.energyrating.gov.au/comparator/product_types/62/heading_help/,https://reg.energyrating.gov.au/static/erws_comparator/common/comparator/Gas_Water_Heaters.850de29088a5.docx,23/09/2020,,NA,NA,NA,,FALSE,,not imported
internet router,N,,,,,,,,,NA,NA,NA,,NA,,
iron,N,,,,,,,,,NA,NA,NA,,NA,,
laptop,N,,,,,,,,,NA,NA,NA,100,NA,,
multiple computers/laptops/tablets/phones,N,,,,,,,,,NA,NA,NA,,NA,,
pool,N,,garage/outside,,,,,,,NA,NA,NA,,FALSE,,
printer,N,,lounge/kitchen,,,,,,,NA,NA,NA,,NA,,
tools,N,,garage/outside,,,,,,,NA,NA,NA,,FALSE,,
treadmill,N,,garage/outside,,,,,,,NA,NA,NA,,NA,,
VR headset,N,,lounge/kitchen,,,,,,,NA,NA,NA,,NA,,
water pump,N,,bathroom/laundry,,,,,,,NA,NA,NA,,NA,,
