ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model No,Family Name,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Star Rating (old),Star Image Large,Star Image Small
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),SMEG,6,,Timer,,590.0,850.0,SD727,,AS/NZS 2442.1:1996,294,1.483,1.0,Used Once A Week,120.0,New Zealand,Approved,15396,4.67,,Condenser,596.0,,,Single product class,Unavailable,http://www.applico.co.nz/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),AWARD,6,,Timer,,590.0,800.0,T514 T447,,AS/NZS 2442.1:1996,294,1.483,1.0,TIMED CYCLE,120.0,New Zealand,Approved,16601,4.67,,Condenser,590.0,,,Single product class,Unavailable,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),AWARD,6,,Timer,,590.0,800.0,T767,,AS/NZS 2442.1:1996,294,1.483,1.0,TIMED CYCLE,120.0,New Zealand,Approved,16601,4.67,,Condenser,590.0,,,Single product class,Unavailable,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),SMEG,6,,Autosensing,United Kingdom,580.0,850.0,SCD772,,AS/NZS 2442.1:1996,291,1.546,1.5,Extra dry,176.0,New Zealand,Approved,18011,4.65,,Condenser,595.0,,,Single product class,Unavailable,http://www.applico.co.nz/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),SMEG,6,,Autosensing,United Kingdom,580.0,850.0,SCD777,,AS/NZS 2442.1:1996,291,1.546,1.5,Extra dry,176.0,New Zealand,Approved,18011,4.65,,Condenser,595.0,,,Single product class,Unavailable,http://www.applico.co.nz/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),FISHER & PAYKEL,8,,Autosensing,New Zealand,700.0,1050.0,DEIX1,,AS/NZS 2442.1:1996,339,2.4131,2.0,"Autosensing, damp",95.0,"Australia,New Zealand",Approved,19704,6.347,,Vented,685.0,,,Single product class,Unavailable,http://www.fisherpaykel.com/nz,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),BAUMATIC,5,,Timer,Chile,525.0,600.0,BK6DR2000,,AS/NZS 2442.1:1996,240,1.6097,1.5,Cotton,170.0,New Zealand,Approved,22153,3.883,,Vented,885.0,,,Single product class,Unavailable,http://www.applico.co.nz/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),SMEG,2.5,,Timer,Italy,540.0,860.0,SWD1600,,AS/NZS 2442.1:1996,84,3.85,3.5,Cotton,120.0,New Zealand,Approved,22155,1.951,,Condenser,595.0,,,Single product class,Unavailable,http://www.applico.co.nz/,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),FISHER & PAYKEL,3.5,False,Timer,New Zealand,,,AD39,,AS/NZS 2442.1:1996,207,0.33,1.0,Regular,125.0,"Australia,New Zealand",Approved,22649,2.777,,Vented,,,,Single product class,Unavailable,http://www.fisherpaykel.com/nz,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),FISHER & PAYKEL,4.5,False,Timer,New Zealand,,,AD55,,AS/NZS 2442.1:1996,241,0.94,1.0,Regular,145.0,"Australia,New Zealand",Approved,22650,3.541,,Vented,,,,Single product class,Unavailable,http://www.fisherpaykel.com/nz,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
AS/NZS 2442.2:2000/Amdt 2:2007 (Legacy),FISHER & PAYKEL,4.5,False,Autosensing,New Zealand,,,ED56,,AS/NZS 2442.1:1996,227,1.31,1.0,Regular,145.0,"Australia,New Zealand",Approved,22651,3.579,0.0,Vented,,,,Single product class,Unavailable,http://www.fisherpaykel.com/nz,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png
