Submit_ID,Brand,Model_No,Family Name,Apply_type_for,N-Standard,ApplStandard,SoldIn,Country,Sing_or_fam,nom_lamp_power,nom_lum_flux,colour_temp,median_lamp_life,avg_lum_maint_2000,avg_CRI,avg_mercury_content,mercury_content,avg_meas_efficacy,SubmitStatus,ExpDate,GrandDate,Product Class,Power Factor,Product Website,Representative Brand URL,Availability,Lumen Maintenance (Lumens)
42339,Zone,ZNES20WB-3PK,Zone CFL's,,AS/NZS 4847.1:2010,AS/NZS 4847.2:2010,New Zealand,China,Bare,20.0,1088.76,2675.0,6000.0,0.9136,82.3,3.8,Elemental,59.26,Approved,,,Single product class,0.599,,http://www.cdb.co.nz,Unavailable,0.8429
42339,Zone,ZNES20WE-3PK,Zone CFL's,,AS/NZS 4847.1:2010,AS/NZS 4847.2:2010,New Zealand,China,Bare,20.0,1088.76,2675.0,6000.0,0.9136,82.3,3.8,Elemental,59.26,Approved,,,Single product class,0.599,,http://www.cdb.co.nz,Unavailable,0.8429
42339,Zone,Zone CFL's,Zone CFL's,,AS/NZS 4847.1:2010,AS/NZS 4847.2:2010,New Zealand,China,Bare,20.0,1088.76,2675.0,6000.0,0.9136,82.3,3.8,Elemental,59.26,Approved,,,Single product class,0.599,,http://www.cdb.co.nz,Unavailable,0.8429
42341,ELITE,20W Spirals,20W Spirals,,AS/NZS 4847.1:2010,AS/NZS 4847.2:2010,New Zealand,China,Bare,20.0,1088.76,2675.0,6000.0,0.9136,82.3,3.8,Elemental,59.76,Approved,,,Single product class,0.599,,,Unavailable,0.8429
42341,ELITE,ES20WB,20W Spirals,,AS/NZS 4847.1:2010,AS/NZS 4847.2:2010,New Zealand,China,Bare,20.0,1088.76,2675.0,6000.0,0.9136,82.3,3.8,Elemental,59.76,Approved,,,Single product class,0.599,,,Unavailable,0.8429
42341,ELITE,ES20WE,20W Spirals,,AS/NZS 4847.1:2010,AS/NZS 4847.2:2010,New Zealand,China,Bare,20.0,1088.76,2675.0,6000.0,0.9136,82.3,3.8,Elemental,59.76,Approved,,,Single product class,0.599,,,Unavailable,0.8429
45682,ELITE,EM20WE,,MEPS 2008,AS/NZS 4847.1:2010,AS/NZS 4847.2:2008 (Legacy),New Zealand,China,Bare,20.0,1070.81,2700.0,6000.0,0.9119,80.6,3.8,Elemental,63.19,Approved,,,Single product class,0.587,,,Unavailable,0.8445
63273,ecobulb,ecobulb 15W B22 HPF 2700K,,,AS/NZS 4847.1:2010,AS/NZS 4847.2:2010,"Australia,New Zealand,Other",China,Bare,15.0,900.0,2700.0,20000.0,0.881,82.2,1.5,Amalgam,61.64,Approved,2022-02-28,,Single product class,0.951,,http://www.ecobulb.com,Unavailable,0.8173
63274,ecobulb,ecobulb 20W B22 HPF 2700K,,,AS/NZS 4847.1:2010,AS/NZS 4847.2:2010,"Australia,New Zealand,Other",China,Bare,20.0,1350.0,2700.0,20000.0,0.907,81.5,1.5,Amalgam,64.84,Approved,2022-02-28,,Single product class,0.948,,http://www.ecobulb.com,Unavailable,0.8218
64137,ecobulb,ecobulb 15W B15 HPF 2700K,,,AS/NZS 4847.1:2010,AS/NZS 4847.2:2010,"Australia,New Zealand,Other",China,Bare,15.0,900.0,2700.0,20000.0,0.881,82.2,1.5,Amalgam,61.64,Approved,2022-03-31,,Single product class,0.951,,http://www.ecobulb.com,Unavailable,0.8173
64138,ecobulb,ecobulb 15W E14 HPF 2700K,,,AS/NZS 4847.1:2010,AS/NZS 4847.2:2010,"Australia,New Zealand,Other",China,Bare,15.0,900.0,2700.0,20000.0,0.881,82.2,1.5,Amalgam,61.64,Approved,2022-03-31,,Single product class,0.951,,http://www.ecobulb.com,Unavailable,0.8173
67718,EDAPT,Edapt CFL's,Edapt CFL's,,AS/NZS 4847.1:2010,AS/NZS 4847.2:2010,New Zealand,China,Bare,20.0,1088.76,2675.0,6000.0,0.9136,82.3,3.8,Elemental,59.26,Approved,2112-12-11,,Single product class,0.599,,,Unavailable,0.8429
67718,EDAPT,TWES20WB,Edapt CFL's,,AS/NZS 4847.1:2010,AS/NZS 4847.2:2010,New Zealand,China,Bare,20.0,1088.76,2675.0,6000.0,0.9136,82.3,3.8,Elemental,59.26,Approved,2112-12-11,,Single product class,0.599,,,Unavailable,0.8429
