ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,Family Name,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Water Consumption (litres),Star Rating (old),Star Image Large,Star Image Small
AS/NZS 2007.2:2003 (Legacy),PARMCO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6W-F1,,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,14242,Approved,18.2,Freestanding,False,,,,Single product class,Available,,,18.05,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),PARMCO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6S-F1,,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,14243,Approved,18.2,Freestanding,False,,,,Single product class,Available,,,18.05,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),PARMCO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6W-F1,,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,14243,Approved,18.2,Freestanding,False,,,,Single product class,Available,,,18.05,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),VERSO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6S-F1,,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,15289,Approved,18.2,Freestanding,False,,,,Single product class,Available,,,18.05,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),VERSO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6W-F1,,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,15289,Approved,18.2,Freestanding,False,,,,Single product class,Available,,,18.05,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),VERSO,14,448,Single,Turkey,,,,Program No 4 Eco ,TD6W-F1,,AS/NZS 2007.1:2005,2.1369,2.0,,,Program No 4 Eco ,153.0,New Zealand,,15292,Approved,18.2,Freestanding,False,,,,Single product class,Available,,,18.05,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),NOUVEAU,12,382,Single,China,,580.0,850.0,Normal wash,WQP12-9011,,AS/NZS 2007.1:2005,2.15,2.0,,,Normal,114.0,"Australia,New Zealand",,19152,Approved,17.6,Freestanding,True,600.0,,,Single product class,Unavailable,,,18.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),NOUVEAU,12,387,Single,China,,600.0,850.0,Normal wash ,Hd,,AS/NZS 2007.1:2005,2.0,2.0,,,Normal,126.0,"Australia,New Zealand",,21343,Approved,14.6333,Freestanding,False,600.0,,,Single product class,Unavailable,,,14.6333,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),NOUVEAU,12,387,Single,China,,600.0,850.0,Normal wash ,HDW101,,AS/NZS 2007.1:2005,2.0,2.0,,,Normal,126.0,"Australia,New Zealand",,21343,Approved,14.6333,Freestanding,False,600.0,,,Single product class,Unavailable,,,14.6333,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2003 (Legacy),BRANDT,13,212,Single,France,,,,,AX545FXZ1,,AS/NZS 2007.1:2005,4.0267,4.0,,,Normal,97.0,"Australia,New Zealand",,23329,Approved,15.1,Freestanding,True,,,,Single product class,Unavailable,,,15.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
AS/NZS 2007.2:2005 (Legacy),BAUMATIC,12,319,Single,China,True,,,,BKD65SS,,AS/NZS 2007.1:2005,2.65,2.5,0.0,0.0,NORMAL ,124.0,New Zealand,1.47,26476,Approved,15.6,Freestanding,False,,,,Single product class,Unavailable,http://www.applico.co.nz/,,15.7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
AS/NZS 2007.2:2005 (Legacy),BAUMATIC,12,319,Single,China,True,,,,BKD65W,,AS/NZS 2007.1:2005,2.65,2.5,0.0,0.0,NORMAL ,124.0,New Zealand,1.47,26476,Approved,15.6,Freestanding,False,,,,Single product class,Unavailable,http://www.applico.co.nz/,,15.7,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
AS/NZS 2007.2:2005 (Legacy),SMEG,10,332,Single,Italy,False,450.0,820.0,,SNZ414IS,,AS/NZS 2007.1:2005,2.0336,2.0,0.002,0.876,N.2 NORMAL ECO,67.0,New Zealand,0.0,27118,Approved,12.0,Freestanding,False,450.0,,,Single product class,Unavailable,http://www.applico.co.nz/,,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2005 (Legacy),SMEG,10,332,Single,Italy,False,450.0,820.0,,SNZ414S,,AS/NZS 2007.1:2005,2.0336,2.0,0.002,0.876,N.2 NORMAL ECO,67.0,New Zealand,0.0,27118,Approved,12.0,Freestanding,False,450.0,,,Single product class,Unavailable,http://www.applico.co.nz/,,12.0,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
AS/NZS 2007.2:2005 (Legacy),BRANDT,13,212,Single,France,True,,,,ElcoBrandt ACAV43,,AS/NZS 2007.1:2005,4.0267,4.0,0.576,0.0,Normal,97.72,"Australia,New Zealand",0.0,27124,Approved,15.1,Freestanding,False,,,,Single product class,Unavailable,,,15.1,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png
AS/NZS 2007.2:2003/Amdt 1:2005 (Legacy),SMEG,12,235,Single,Italy,,600.0,580.0,,STH905,,AS/NZS 2007.1:2005,3.5136,3.5,,, Normal eco,176.0,New Zealand,,27806,Superseded,12.6,Built-in,False,860.0,,2007-03-31,Single product class,Available,http://www.applico.co.nz/,,12.6,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png
