Submit_ID,SubmitStatus,Sold_in,Brand,Model Number,Family Name,Country,N-Standard,ApplStandard,Width,Height,Depth,Product Class,Availability Status,Product Website,Representative Brand URL,Expiry Date,Suitable for Gas Types,Nominal Gas Consumption (MJ/Hour),Nominal Delivery output (x Litres per min. @ 45°C rise),Comparative Annual Energy Consumption (MJ/Year),Suitable for Solar boosting,Storage Capacity (Litres),Water Heater Type
57187,Approved,New Zealand,RHEEM,874027LFZ,,Japan,AS 4552:2005,AS/NZS 4552.2:2010,350.0,640.0,215.0,Class 2,Unavailable,http://www.rheem.co.nz,http://www.rheem.co.nz,,"LPG (NZ),Natural Gas",205.0,15.0,19203.0,True,,Instantaneous
57187,Approved,New Zealand,RHEEM,874027NFZ,,Japan,AS 4552:2005,AS/NZS 4552.2:2010,350.0,640.0,215.0,Class 2,Unavailable,http://www.rheem.co.nz,http://www.rheem.co.nz,,"LPG (NZ),Natural Gas",205.0,15.0,19203.0,True,,Instantaneous
58045,Approved,New Zealand,RINNAI,REU KM 3237 FFUDC ZK,,Japan,AS 4552:2005,AS/NZS 4552.2:2010,,,,Class 2,Unavailable,,,,"Natural Gas,LPG (NZ),Natural Gas",211.0,17.8,17218.0,True,,Instantaneous
58045,Approved,New Zealand,RINNAI,REU KM 3237 FFUD ZF,,Japan,AS 4552:2005,AS/NZS 4552.2:2010,,,,Class 2,Unavailable,,,,"Natural Gas,LPG (NZ),Natural Gas",211.0,17.8,17218.0,True,,Instantaneous
58045,Approved,New Zealand,RINNAI,REU KM 3237 WDC ZK,,Japan,AS 4552:2005,AS/NZS 4552.2:2010,,,,Class 2,Unavailable,,,,"Natural Gas,LPG (NZ),Natural Gas",211.0,17.8,17218.0,True,,Instantaneous
58045,Approved,New Zealand,RINNAI,REU KM3237 WD ZK,,Japan,AS 4552:2005,AS/NZS 4552.2:2010,,,,Class 2,Unavailable,,,,"Natural Gas,LPG (NZ),Natural Gas",211.0,17.8,17218.0,True,,Instantaneous
58169,Approved,New Zealand,RINNAI,REU K2430WG,,Japan,AS 4552:2005,AS/NZS 4552.2:2010,,,,Class 2,Unavailable,,,,"Natural Gas,LPG (NZ),Natural Gas",162.0,13.3,18623.0,True,,Instantaneous
58803,Approved,"Australia,New Zealand",Robert Bosch,BC2600RA,,Japan,AS 4552:2005,AS/NZS 4552.2:2010,,,,Class 2,Unavailable,,http://www.bosch-climate.com.au/,,"LPG (NZ),Natural Gas",178.0,14.0,17050.0,True,,Instantaneous
58889,Approved,"Australia,New Zealand",Dux Prodigy,330TN,,Australia,AS 4552:2005,AS/NZS 4552.2:2010,,,,Class 1,Unavailable,,http://www.dux.com.au,,Natural Gas,42.0,,20723.0,,135.0,Storage
58901,Approved,"Australia,New Zealand",Dux Prodigy,360TN,,Australia,AS 4552:2005,AS/NZS 4552.2:2010,,,,Class 1,Unavailable,,http://www.dux.com.au,,Natural Gas,42.0,,20645.0,,170.0,Storage
