adjust_temp,ApplStandard,Brand,Cap,Country,Decl Stand Heat,Depth,Gross Store Cap,Heating Elements,Height,Label-MEPSNZ,Model No,Family Name,N-Standard,N-Standard_MEPS,Sold_in,Submit_ID,SubmitStatus,tot_expan_valves,tot_feed_tanks,tot_hotwat_fittings,TPR Valves,Type,vent_displacement,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
True,AS/NZS 4692.2:2005,ECONOMAX,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.13,,135.0,,,MEPS-NZ2003-electric,ECONO - 13515,,NZ 4606.1,NZS 4606.1-1989,New Zealand,29590,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
False,AS/NZS 4692.2:2005,MID-WAY PLUS,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.13,,135.0,,,MEPS-NZ2003-electric,TR 135 510 34,,NZ 4606.1,NZS 4606.1-1989,New Zealand,29591,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.55,,44.0,,,MEPS-NZ2003-electric,TR 044 445 15,,NZ 4606.1,NZS 4606.1-1989,New Zealand,29595,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.55,,44.0,,,MEPS-NZ2003-electric,US 044 44,,NZ 4606.1,NZS 4606.1-1989,New Zealand,29595,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,GREENGLO,Not Applicable - Application for MEPS in NZ Only,Turkey,3.03,,520.0,,,not-NZ-MEPS,GreenGlo 500D,,AS/NZS 4692.1:2005,AS/NZS 4692.1 (2005),New Zealand,29975,Approved,1,0,2,1,Heat Exchange,,,,,Class 3,Unavailable,,
True,AS/NZS 4692.2:2005,ECONOMAX,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,135.0,,,MEPS-NZ2003-electric,ECONO - 18015,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30012,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
False,AS/NZS 4692.2:2005,MID-WAY PLUS,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,180.0,,,MEPS-NZ2003-electric,TR 180 510 34,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30015,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
False,AS/NZS 4692.2:2005,MID-WAY PLUS,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.34,,180.0,,,MEPS-NZ2003-electric,TR 180 510 35,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30015,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.52,,225.0,,,MEPS-NZ2003-electric,TR 225 550 15,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30017,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.52,,225.0,,,MEPS-NZ2003-electric,TR 225 550 25,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30017,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.84,,270.0,,,MEPS-NZ2003-electric,TR 270 600 15,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30019,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.84,,270.0,,,MEPS-NZ2003-electric,TR 270 600 25,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30019,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.36,,9.0,,,MEPS-NZ2003-electric,US 009 34,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30024,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.38,,14.0,,,MEPS-NZ2003-electric,US 014 34,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30026,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.44,,22.0,,,MEPS-NZ2003-electric,US 022 34,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30027,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,0.55,,44.0,,,MEPS-NZ2003-electric,US 044 44,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30050,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.01,,135.0,,,MEPS-NZ2003-electric,MP 135,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30051,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.01,,135.0,,,MEPS-NZ2003-electric,MP 1351,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30051,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.18,,180.0,,,MEPS-NZ2003-electric,MP 180,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30052,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.18,,180.0,,,MEPS-NZ2003-electric,MP 1801,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30052,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.59,,250.0,,,MEPS-NZ2003-electric,MP 250,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30053,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
True,AS/NZS 4692.2:2005,HJ COOPER,Not Applicable - Application for MEPS in NZ Only,New Zealand,1.59,,250.0,,,MEPS-NZ2003-electric,MP 2501,,NZ 4606.1,NZS 4606.1-1989,New Zealand,30053,Approved,0,0,0,1,Vented/Non-displacement,,,,,,Unavailable,,
