Submit_ID,Brand,Model_No,Family Name,SoldIn,Country,Sing_or_fam,nom_lamp_power,avg_meas_lum_flux,median_lamp_life,lumen_maintenance,avg_meas_efficacy,inputvolt_min,inputvolt_max,ExpDate,GrandDate,SubmitStatus,Product Class,Availability Status,Product Website,Representative Brand URL,Lamp Light Output (Lumens),Lamp Type,What test standard was used
69009,PHILIPS,EcoHalo 35WGU5.3 12V,EcoHalo 35WGU5.3 12V,Australia,Poland,,35.0,498.5,3296.0,0.962,14.0,12.0,12.0,2021-01-12,,Approved,Class 1,Unavailable,http://www.philips.com.au/,,465.0,ELV halogen reflector,AS/NZS 4934.1:2014
69009,PHILIPS,EcoHalo 35WGU5.3 12V 36D,EcoHalo 35WGU5.3 12V,Australia,Poland,,35.0,498.5,3296.0,0.962,14.0,12.0,12.0,2021-01-12,,Approved,Class 1,Unavailable,http://www.philips.com.au/,,465.0,ELV halogen reflector,AS/NZS 4934.1:2014
69009,PHILIPS,EcoHalo 35WGU5.3 12V 60D,EcoHalo 35WGU5.3 12V,Australia,Poland,,35.0,498.5,3296.0,0.962,14.0,12.0,12.0,2021-01-12,,Approved,Class 1,Unavailable,http://www.philips.com.au/,,465.0,ELV halogen reflector,AS/NZS 4934.1:2014
77022,OSRAM,45860 SP 20W LL,Decostar 51 Long Life 20W,"Australia,Fiji,New Zealand",Germany,Family,20.0,221.0,4322.0,1.0,11.16,12.0,12.0,2021-02-10,,Approved,Class 1,Available,http://www.ledvance.com.au,http://www.ledvance.com.au,221.0,ELV halogen reflector,AS/NZS 4934.1:2014
77022,OSRAM,45860 WFL 20W LL,Decostar 51 Long Life 20W,"Australia,Fiji,New Zealand",Germany,Family,20.0,221.0,4322.0,1.0,11.16,12.0,12.0,2021-02-10,,Approved,Class 1,Available,http://www.ledvance.com.au,http://www.ledvance.com.au,221.0,ELV halogen reflector,AS/NZS 4934.1:2014
77022,OSRAM,Decostar 51 Long Life 20W,Decostar 51 Long Life 20W,"Australia,Fiji,New Zealand",Germany,Family,20.0,221.0,4322.0,1.0,11.16,12.0,12.0,2021-02-10,,Approved,Class 1,Available,http://www.ledvance.com.au,http://www.ledvance.com.au,221.0,ELV halogen reflector,AS/NZS 4934.1:2014
93719,Housewares,HWCGLS-28,HWCGLS-28,Australia,China,,28.0,356.8,2000.0,0.871,12.6,230.0,250.0,2020-10-12,,Approved,,Unavailable,,,350.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93719,Housewares,HWCGLSBC-28,HWCGLS-28,Australia,China,,28.0,356.8,2000.0,0.871,12.6,230.0,250.0,2020-10-12,,Approved,,Unavailable,,,350.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93719,Housewares,HWCGLSES-28,HWCGLS-28,Australia,China,,28.0,356.8,2000.0,0.871,12.6,230.0,250.0,2020-10-12,,Approved,,Unavailable,,,350.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93729,Housewares,HWGLSC-42,HWGLSC-42,Australia,China,,42.0,602.3,2000.0,0.863,14.1,230.0,250.0,2020-10-12,,Approved,,Unavailable,,,600.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93729,Housewares,HWGLSCBC-42,HWGLSC-42,Australia,China,,42.0,602.3,2000.0,0.863,14.1,230.0,250.0,2020-10-12,,Approved,,Unavailable,,,600.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93729,Housewares,HWGLSCES-42,HWGLSC-42,Australia,China,,42.0,602.3,2000.0,0.863,14.1,230.0,250.0,2020-10-12,,Approved,,Unavailable,,,600.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93740,Housewares,HWGLSC-53,HWGLSC-53,Australia,China,,53.0,804.5,2000.0,0.91,15.0,230.0,250.0,2020-10-12,,Approved,,Unavailable,,,800.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93740,Housewares,HWGLSCBC-53,HWGLSC-53,Australia,China,,53.0,804.5,2000.0,0.91,15.0,230.0,250.0,2020-10-12,,Approved,,Unavailable,,,800.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93740,Housewares,HWGLSCES-53,HWGLSC-53,Australia,China,,53.0,804.5,2000.0,0.91,15.0,230.0,250.0,2020-10-12,,Approved,,Unavailable,,,800.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93741,Housewares,HWGLSC-72,HWGLSC-72,Australia,China,,72.0,1155.1,2000.0,0.906,15.8,230.0,250.0,2020-10-13,,Approved,,Available,,,1100.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93741,Housewares,HWGLSCBC-72,HWGLSC-72,Australia,China,,72.0,1155.1,2000.0,0.906,15.8,230.0,250.0,2020-10-13,,Approved,,Available,,,1100.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93741,Housewares,HWGLSCES-72,HWGLSC-72,Australia,China,,72.0,1155.1,2000.0,0.906,15.8,230.0,250.0,2020-10-13,,Approved,,Available,,,1100.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93742,Housewares,HWGLSP-28,HWGLSP-28,Australia,China,,28.0,357.7,2000.0,0.861,12.7,230.0,250.0,2020-10-12,,Approved,,Available,,,350.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93742,Housewares,HWGLSPBC-28,HWGLSP-28,Australia,China,,28.0,357.7,2000.0,0.861,12.7,230.0,250.0,2020-10-12,,Approved,,Available,,,350.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93742,Housewares,HWGLSPES-28,HWGLSP-28,Australia,China,,28.0,357.7,2000.0,0.861,12.7,230.0,250.0,2020-10-12,,Approved,,Available,,,350.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93743,Housewares,HWGLSP-42,HWGLSP-42,Australia,China,,42.0,606.7,2000.0,0.851,14.2,230.0,250.0,2020-10-12,,Approved,,Available,,,600.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93743,Housewares,HWGLSPBC-42,HWGLSP-42,Australia,China,,42.0,606.7,2000.0,0.851,14.2,230.0,250.0,2020-10-12,,Approved,,Available,,,600.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93743,Housewares,HWGLSPES-42,HWGLSP-42,Australia,China,,42.0,606.7,2000.0,0.851,14.2,230.0,250.0,2020-10-12,,Approved,,Available,,,600.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93745,Housewares,HWGLSP-53,HWGLSP-53,Australia,China,,53.0,797.7,2000.0,0.911,14.9,230.0,250.0,2020-10-08,,Approved,,Available,,,750.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93745,Housewares,HWGLSPBC-53,HWGLSP-53,Australia,China,,53.0,797.7,2000.0,0.911,14.9,230.0,250.0,2020-10-08,,Approved,,Available,,,750.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93745,Housewares,HWGLSPES-53,HWGLSP-53,Australia,China,,53.0,797.7,2000.0,0.911,14.9,230.0,250.0,2020-10-08,,Approved,,Available,,,750.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93746,Housewares,HWGLSP-72,HWGLSP-72,Australia,China,,72.0,1154.9,2000.0,0.904,15.8,230.0,250.0,2020-10-12,,Approved,,Available,,,1100.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93746,Housewares,HWGLSPBC-72,HWGLSP-72,Australia,China,,72.0,1154.9,2000.0,0.904,15.8,230.0,250.0,2020-10-12,,Approved,,Available,,,1100.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93746,Housewares,HWGLSPES-72,HWGLSP-72,Australia,China,,72.0,1154.9,2000.0,0.904,15.8,230.0,250.0,2020-10-12,,Approved,,Available,,,1100.0,Mains Voltage halogen non reflector,AS/NZS 4934.1:2014
93749,MIRABELLA,MR16HW 35W 60D,,Australia,China,Single,35.0,479.0,2000.0,0.95,13.61,12.0,12.0,2021-01-08,,Approved,,Available,,http://www.mirabella.com.au,470.0,ELV halogen reflector,AS/NZS 4934.1:2014
93893,Brilliant Lighting,19099,A55,Australia,China,,28.0,390.85,2000.0,0.86,13.1,240.0,240.0,2020-10-13,,Approved,,Unavailable,,http://www.blinklighting.com.au,380.0,GLS tungsten filament,AS/NZS 4934.1:2014
93893,Brilliant Lighting,19100,A55,Australia,China,,28.0,390.85,2000.0,0.86,13.1,240.0,240.0,2020-10-13,,Approved,,Unavailable,,http://www.blinklighting.com.au,380.0,GLS tungsten filament,AS/NZS 4934.1:2014
93893,Brilliant Lighting,19101,A55,Australia,China,,28.0,390.85,2000.0,0.86,13.1,240.0,240.0,2020-10-13,,Approved,,Unavailable,,http://www.blinklighting.com.au,380.0,GLS tungsten filament,AS/NZS 4934.1:2014
93893,Brilliant Lighting,A55,A55,Australia,China,,28.0,390.85,2000.0,0.86,13.1,240.0,240.0,2020-10-13,,Approved,,Unavailable,,http://www.blinklighting.com.au,380.0,GLS tungsten filament,AS/NZS 4934.1:2014
93899,Brilliant Lighting,19117,G45,Australia,China,,28.0,389.85,2000.0,0.86,13.07,240.0,240.0,2020-10-14,,Approved,,Available,,http://www.blinklighting.com.au,390.0,GLS tungsten filament,AS/NZS 4934.1:2014
93899,Brilliant Lighting,19118,G45,Australia,China,,28.0,389.85,2000.0,0.86,13.07,240.0,240.0,2020-10-14,,Approved,,Available,,http://www.blinklighting.com.au,390.0,GLS tungsten filament,AS/NZS 4934.1:2014
93899,Brilliant Lighting,19119,G45,Australia,China,,28.0,389.85,2000.0,0.86,13.07,240.0,240.0,2020-10-14,,Approved,,Available,,http://www.blinklighting.com.au,390.0,GLS tungsten filament,AS/NZS 4934.1:2014
