ApplStandard,Brand,Country,Lamp_Freq,Model No,Family Name,N-Standard,nom_len,nom_watt,Rated_CRI,Rated_IE,Rated_IL,Rated_ILW,Rated_ME,Rated_ML,Rated_MLW,Sold_in,Submit_ID,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,ILCOS Code,Nominal Diameter (mm)
AS/NZS 4782.2:2004/Amdt 2:2006,Philips,Netherlands,50Hz,TLD32W840ECO,,AS/NZS 4782.1:2004,1500.0,51.0,85.0,94.1,4800.0,51.0,84.7,4320.0,51.0,New Zealand,46832,Approved,,,Class 4,Unavailable,http://www.lighting.philips.co.nz/prof,http://www.philips.com.au,FD-15-E-G13-26/550,26.0
AS/NZS 4782.2:2004/Amdt 2:2006,Philips,Netherlands,50Hz,TLD32W865ECO,,AS/NZS 4782.1:2004,1500.0,51.0,85.0,94.1,4800.0,51.0,84.7,4320.0,51.0,New Zealand,46832,Approved,,,Class 4,Unavailable,http://www.lighting.philips.co.nz/prof,http://www.philips.com.au,FD-15-E-G13-26/550,26.0
AS/NZS 4782.2:2004/Amdt 2:2006,Philips,Netherlands,50Hz,TLD51W840ECO,,AS/NZS 4782.1:2004,1500.0,51.0,85.0,94.1,4800.0,51.0,84.7,4320.0,51.0,New Zealand,46832,Approved,,,Class 4,Unavailable,http://www.lighting.philips.co.nz/prof,http://www.philips.com.au,FD-15-E-G13-26/550,26.0
AS/NZS 4782.2:2004/Amdt 2:2006,Philips,Netherlands,50Hz,TLD51W865ECO,,AS/NZS 4782.1:2004,1500.0,51.0,85.0,94.1,4800.0,51.0,84.7,4320.0,51.0,New Zealand,46832,Approved,,,Class 4,Unavailable,http://www.lighting.philips.co.nz/prof,http://www.philips.com.au,FD-15-E-G13-26/550,26.0
AS/NZS 4782.2:2004/Amdt 2:2006,NARVA NZ,Germany,50Hz,LT-T8 16 W - 840,,AS/NZS 4782.1:2004,720.0,16.0,80.0,75.0,,,70.5,,,New Zealand,51826,Approved,,,Class 2,Unavailable,,,FDH-16-L/P-G13-26/600,26.0
AS/NZS 4782.2:2004/Amdt 2:2006,NARVA NZ,Germany,50Hz,LT-T8 16 W - 865,,AS/NZS 4782.1:2004,720.0,16.0,80.0,75.0,,,70.5,,,New Zealand,51826,Approved,,,Class 2,Unavailable,,,FDH-16-L/P-G13-26/600,26.0
AS/NZS 4782.2:2004/Amdt 2:2006,NARVA NZ,Germany,50Hz,LT-T8 18 W - 827,,AS/NZS 4782.1:2004,590.0,18.0,80.0,72.2,,,67.9,,,New Zealand,51828,Approved,,,Class 1,Unavailable,,,FD-18-E-G13-26/600,26.0
AS/NZS 4782.2:2004/Amdt 2:2006,NARVA NZ,Germany,50Hz,LT-T8 18 W - 830,,AS/NZS 4782.1:2004,590.0,18.0,80.0,72.2,,,67.9,,,New Zealand,51828,Approved,,,Class 1,Unavailable,,,FD-18-E-G13-26/600,26.0
AS/NZS 4782.2:2004/Amdt 2:2006,NARVA NZ,Germany,50Hz,LT-T8 18 W - 835,,AS/NZS 4782.1:2004,590.0,18.0,80.0,72.2,,,67.9,,,New Zealand,51828,Approved,,,Class 1,Unavailable,,,FD-18-E-G13-26/600,26.0
AS/NZS 4782.2:2004/Amdt 2:2006,NARVA NZ,Germany,50Hz,LT-T8 18 W - 840,,AS/NZS 4782.1:2004,590.0,18.0,80.0,72.2,,,67.9,,,New Zealand,51828,Approved,,,Class 1,Unavailable,,,FD-18-E-G13-26/600,26.0
