Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,Sing_or_fam,standard_rating,condenser_type,cert_program,cooling_capacity,Decl_COP,Decl_IPLV,ExpDate,GrandDate,SubmitStatus,Product Class,Availability Status,Product Website,Representative Brand URL,Registration Basis
49879,RHOSS,TCAEBY5370,,New Zealand,Italy,Family,True,Air Cooled,Eurovent,370.0,2.81,4.52,,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69144,RHOSS,TCAEBY4350,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,Eurovent,354.0,2.79,4.13,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69151,RHOSS,TCAEBY4380,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,Eurovent,378.0,2.77,4.16,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69152,RHOSS,TCAEBY4410,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,Eurovent,417.0,2.75,4.05,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69153,RHOSS,TCAEBY5450,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,Eurovent,457.0,2.79,4.15,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69154,RHOSS,TCAEBY6500,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,Eurovent,498.0,2.75,4.17,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69155,RHOSS,TCAEBY6560,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,Eurovent,569.0,2.77,4.12,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69156,RHOSS,TCAEBY6600,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,Eurovent,603.0,2.77,4.09,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69157,RHOSS,TCAEBY6640,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,Eurovent,636.0,2.78,4.07,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69158,RHOSS,TCAETY4370,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,,372.0,3.05,4.4,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69159,RHOSS,TCAETY4400,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,,395.0,3.07,4.42,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69160,RHOSS,TCAETY4440,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,,440.0,3.05,4.35,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69161,RHOSS,TCAETY5470,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,,478.0,3.07,4.52,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69163,RHOSS,TCAETY6520,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,,520.0,3.06,4.49,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69165,RHOSS,TCAETY6580,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,,585.0,3.08,4.51,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69166,RHOSS,TCAETY6620,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,,628.0,3.07,4.49,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
69167,RHOSS,TCAETY6660,,"Fiji,New Zealand",Italy,Single,True,Air Cooled,,661.0,3.07,4.38,2112-11-01,,Approved,Single product class,Unavailable,http://www.rhoss.com/,http://www.Rhoss.it,Eurovent
73796,Clivet,WSAT-XSC2 EXE 140D SC-T,,New Zealand,Italy,Single,True,Air Cooled,,394.46,3.15,5.24,2113-08-08,,Approved,Single product class,Unavailable,http://www.clivet.it/,http://www.clivet.com/en/,Eurovent
73954,Clivet,WSAT-XSC2 PRM 170E EN-T,,New Zealand,Italy,Single,True,Air Cooled,,439.0,2.73,4.9,2113-08-08,,Approved,Single product class,Unavailable,http://www.clivet.it/,http://www.clivet.com/en/,Eurovent
86449,DAIKIN,EWAD440TZ-X,EWAD440TZ-X,"Australia,New Zealand",Italy,Family,True,Air Cooled,,441.0,3.22,6.39,2022-06-20,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
86449,DAIKIN,EWAD440TZ-XR,EWAD440TZ-X,"Australia,New Zealand",Italy,Family,True,Air Cooled,,441.0,3.22,6.39,2022-06-20,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
86449,DAIKIN,EWAD440TZ-XS,EWAD440TZ-X,"Australia,New Zealand",Italy,Family,True,Air Cooled,,441.0,3.22,6.39,2022-06-20,,Approved,Single product class,Available,http://www.daikin.com.au/,http://www.daikin.com.au,Eurovent
92962,CARRIER,19XRV6567,,"Australia,Fiji,New Zealand","China,United States of America,France",Single,True,Water Cooled,,2740.0,6.37,10.1,2020-09-15,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
93179,CARRIER,19XR-5K50,,"Australia,Fiji,New Zealand","China,United States of America,France",Single,False,Water Cooled,,1600.0,4.68,4.63,2020-09-15,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
93392,CARRIER,30XAV-0500,,"Australia,Fiji,New Zealand","France,China,United States of America",Single,True,Air Cooled,,487.4,3.02,5.26,2020-09-22,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,Eurovent
93787,CARRIER,19XRV6X67,,"Australia,Fiji,New Zealand","France,United States of America,China",Single,True,Water Cooled,,2800.0,6.04,9.7,2020-10-12,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
94307,TRANE,ERTAF175HSE,,"Australia,Fiji,New Zealand",France,Single,True,Air Cooled,,638.0,3.07,5.43,2021-01-27,,Approved,Single product class,Available,http://www.veolia.com.au/about-veolia/veolia-energy,http://www.trane.com,Eurovent
94814,CARRIER,23XRVA,23XRVA,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,950.0,5.53,10.55,2020-12-14,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
94814,CARRIER,23XRVA3A3,23XRVA,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,950.0,5.53,10.55,2020-12-14,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
94814,CARRIER,23XRVA6A3,23XRVA,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,950.0,5.53,10.55,2020-12-14,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
95512,CARRIER,30XA1002,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Air Cooled,,952.8,2.98,4.42,2020-12-16,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,Eurovent
95519,CARRIER,30XW-0702P,30XW 0702P-0852P,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,849.9,5.82,7.73,2020-12-18,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
95519,CARRIER,30XW 0702P-0852P,30XW 0702P-0852P,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,849.9,5.82,7.73,2020-12-18,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
95519,CARRIER,30XW-0802P,30XW 0702P-0852P,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,849.9,5.82,7.73,2020-12-18,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
95519,CARRIER,30XW-0852P,30XW 0702P-0852P,"Australia,Fiji,New Zealand","United States of America,France,China",Family,True,Water Cooled,,849.9,5.82,7.73,2020-12-18,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
95526,CARRIER,30XW-0652,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Water Cooled,,665.6,5.41,6.93,2020-12-16,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,Eurovent
95617,TRANE,ERTAF190HSE,,"Australia,Fiji,New Zealand",France,Single,True,Air Cooled,,695.0,3.1,5.43,2021-02-03,,Approved,Single product class,Available,http://www.veolia.com.au/about-veolia/veolia-energy,http://www.trane.com,Eurovent
95900,TRANE,RTAC 350 SE,,"Australia,Fiji,New Zealand",United States of America,Single,True,Air Cooled,,1130.5,2.7,4.7,2021-01-28,,Approved,Single product class,Available,http://www.veolia.com.au/about-veolia/veolia-energy,http://www.trane.com,AHRI
96226,CARRIER,30XW-0502,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Water Cooled,AHRI,524.4,5.29,7.13,2021-01-19,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,
96277,Turbomiser,TMH 1D600 WT-34,,"Australia,Fiji,New Zealand",Italy,Single,True,Water Cooled,,580.0,5.8,9.35,2021-01-21,,Approved,Single product class,Available,http://www.geoclima.com/,http://www.geoclima.com/turbomiser/,
96899,CARRIER,23XRV3030,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Water Cooled,,1050.0,5.91,10.1,2021-02-15,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
96900,CARRIER,23XRV4747,,"Australia,Fiji,New Zealand","United States of America,France,China",Single,True,Water Cooled,,1443.0,5.98,11.11,2021-02-24,,Approved,Single product class,Available,,http://www.ahi-carrier.com.au,AHRI
97221,YORK,YVWANENDFF,,"Australia,Fiji,New Zealand","Mexico,China",Single,True,Water Cooled,,995.0,5.61,8.59,2021-03-14,,Approved,Single product class,Available,http://www.johnsoncontrols.com.au/,http://www.johnsoncontrols.com.au,AHRI
