ApplStandard,Brand,Country,In_Voltage,Model No,Family Name,model_comply,N-Standard,network_voltage,Out_Voltage,Output,powersupply,Sold_in,Submit_ID,SubmitStatus,SWERType,tested_PE,ExpDate,GrandDate,Product Class,Transformer Type,Availability Status,Product Website,Representative Brand URL
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,X030NHW3F,,,AS 2374.1,11kV,415.0,30.0,Three Phase,New Zealand,16494,Approved,False,98.58,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,X050NHW3G,,,AS 2374.1,11kV,415.0,50.0,Three Phase,New Zealand,16573,Approved,False,98.78,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,X075NHW3G,,,AS 2374.1,11kV,415.0,75.0,Three Phase,New Zealand,16576,Approved,False,98.85,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,X100NHW3H,,,AS 2374.1,11kV,415.0,100.0,Three Phase,New Zealand,16578,Approved,False,98.98,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,X150NHW3B,,,AS 2374.1,11kV,415.0,150.0,Three Phase,New Zealand,16579,Approved,False,99.08,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,X200NHW3F,,,AS 2374.1,11kV,415.0,200.0,Three Phase,New Zealand,16580,Approved,False,99.16,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,X300NHM3M,,,AS 2374.1,11kV,415.0,300.0,Three Phase,New Zealand,16591,Approved,False,99.16,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,X500NHM3N,,,AS 2374.1,11kV,415.0,500.0,Three Phase,New Zealand,16592,Approved,False,99.23,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,X750NHM3F,,,AS 2374.1,11kV,415.0,750.0,Three Phase,New Zealand,16593,Approved,False,99.28,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,XK10NHM3F,,,AS 2374.1,11kV,415.0,1000.0,Three Phase,New Zealand,16594,Approved,False,99.31,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,XK15NKM2A,,,AS 2374.1,11kV,415.0,1500.0,Three Phase,New Zealand,16883,Approved,False,99.37,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,X015NGS3F,,,AS 2374.1,11kV,240.0,15.0,Single Phase,New Zealand,16884,Approved,False,98.57,,,Class 1,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,X030NGS3G,,,AS 2374.1,11kV,240.0,30.0,Single Phase,New Zealand,16885,Approved,False,98.9,,,Class 1,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,X050NGS3G,,,AS 2374.1,11kV,240.0,50.0,Single Phase,New Zealand,16886,Approved,False,98.91,,,Class 1,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ETEL,New Zealand,11000.0,D240,,,AS 2374.1,11kV,240.0,15.0,Single Phase,"Australia,New Zealand",16995,Approved,False,98.484,,,Class 1,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,22000.0,X050PHW3C,,,AS 2374.1,22kV,415.0,50.0,Three Phase,New Zealand,17020,Approved,False,98.63,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,22000.0,X075PHW3B,,,AS 2374.1,22kV,415.0,75.0,Three Phase,New Zealand,17021,Approved,False,98.79,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,22000.0,X150PHW3A,,,AS 2374.1,22kV,415.0,150.0,Three Phase,New Zealand,17022,Approved,False,98.95,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,22000.0,X200PHM3B,,,AS 2374.1,22kV,415.0,200.0,Three Phase,New Zealand,17023,Approved,False,98.96,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,22000.0,X300PHM3B,,,AS 2374.1,22kV,415.0,300.0,Three Phase,New Zealand,17024,Approved,False,99.14,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,22000.0,X500PHM3A,,,AS 2374.1,22kV,415.0,500.0,Three Phase,New Zealand,17026,Approved,False,99.26,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,22000.0,XK10PHM3B,,,AS 2374.1,22kV,415.0,1000.0,Three Phase,New Zealand,17027,Approved,False,99.31,,,Class 2,Oil Immersed,Unavailable,,
AS/NZS 2374.1.2:2003/Amdt 1:2005,ABB,New Zealand,11000.0,XK20NHM3E,,,AS 2374.1,11kV,415.0,2000.0,Three Phase,New Zealand,17028,Approved,False,99.4,,,Class 2,Oil Immersed,Unavailable,,
