ApplStandard,Brand,Country Of Manufacturer,Eff50,Eff75,EffFL,Enclr,Frame,High_eff_compl,High_eff_load,kWatt,MEPS_Applic,MEPS_compl_load,MEPS_Why,Model No,Family Name,Mount_Code,N-Standard,N-TestMethod,NumPls,Sold_in,Submit_ID,SubmitStatus,Torque_FL,Voltage,Weight,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,83.0,85.0,86.0,IP55,132 S (foot),No,,5.5,Yes - 2001 MEPS Level,100,,TEFC 5.5KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,New Zealand,11815,Superseded,36.9,415,76.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,85.0,87.0,87.0,IP55,160 M (foot),No,,7.5,Yes - 2001 MEPS Level,both,,TEFC 7.5KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12335,Superseded,50.0,415,125.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,86.0,89.0,89.0,IP55,160 M (foot),No,,11.0,Yes - 2001 MEPS Level,both,,TEFC 11KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12336,Superseded,73.4,415,125.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,88.0,90.0,90.0,IP55,160 L (foot),No,,15.0,Yes - 2001 MEPS Level,both,,TEFC 15KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12337,Superseded,100.1,415,148.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,90.0,92.0,92.0,IP55,180 M (foot),No,,18.5,Yes - 2001 MEPS Level,both,,TEFC 18.5KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12338,Superseded,122.2,415,174.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,81.0,83.0,84.0,IP55,112 M (foot),No,,3.7,Yes - 2001 MEPS Level,100,,TEFC 3.7KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12339,Superseded,25.0,415,42.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,79.0,81.0,82.0,IP55,100 L (foot),No,,2.2,Yes - 2001 MEPS Level,both,,TEFC 2.2KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12340,Superseded,14.9,415,32.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,77.0,79.0,80.0,IP55,90 L (foot),No,,1.5,Yes - 2001 MEPS Level,both,,TEFC 1.5KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12341,Superseded,10.3,415,25.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,74.0,76.0,78.0,IP55,90 S (foot),No,,1.1,Yes - 2001 MEPS Level,100,,TEFC 1.1KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12342,Superseded,7.6,415,22.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,74.0,76.0,77.0,IP55,AD/ND80,No,,0.75,Yes - 2001 MEPS Level,both,,TEFC 0.75KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12343,Superseded,5.2,415,17.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,90.0,92.0,92.0,IP55,180 L (foot),No,,22.0,Yes - 2001 MEPS Level,both,,TEFC 22KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12344,Superseded,145.3,415,210.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,90.2,92.0,92.0,IP55,180 L (foot),No,,30.0,Yes - 2001 MEPS Level,both,,TEFC 30KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12345,Superseded,198.1,415,282.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,91.6,92.5,92.5,IP55,225 S (foot),No,,37.0,Yes - 2001 MEPS Level,,,TEFC 37KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12350,Superseded,243.5,415,345.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,91.5,93.0,93.0,IP55,225 M (foot),No,,45.0,Yes - 2001 MEPS Level,100,,TEFC 45KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12351,Superseded,296.15,415,375.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,92.0,93.5,93.5,IP55,250 M (foot),No,,55.0,Yes - 2001 MEPS Level,both,,TEFC 55KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12352,Superseded,363.2,415,473.0,,2006-06-16,Single product class,Available,,
AS/NZS 1359.5:2000 (Legacy),CROMPTON GREAVES,India,92.5,94.0,94.0,IP55,280 S (foot),No,,75.0,Yes - 2001 MEPS Level,both,,TEFC 75KW 4P,,B3,IEC 60034-2-1 (Edition 2.0),B,4,"Australia,New Zealand",12353,Superseded,493.6,415,600.0,,2006-06-16,Single product class,Available,,
