Submit_ID,Brand_Reg,Model_No,Family Name,N-Reg_Date,N-Grandfather-Date,Reg_No,SoldIn,Country,Prod_conf,nov,pno,Apply_type_for,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Input voltage (V) Max,Input voltage (V) Min,Output voltage (V) Min
41780,Dongguan Jiayi Electric Co. Ltd,JY15-050-200-AU,,2008-12-15,,ZPS0002,New Zealand,China,AC-DC,5.0,10.0,High Efficiency 2008 (Mark IV),Approved,,,Class 1,Unavailable,,http://www.adaptorjy.com,240.0,100.0,5.0
41824,David Power,DP15-0901000,,2009-02-18,,ZPS0008,"Australia,New Zealand",China,AC-DC,12.0,0.0,High Efficiency 2008 (Mark V),Approved,,,Class 1,Unavailable,,http://www.adapter.com.tw,240.0,100.0,9.0
41824,David Power,DP15-1201000,,2009-02-18,,ZPS0008,"Australia,New Zealand",China,AC-DC,12.0,0.0,High Efficiency 2008 (Mark V),Approved,,,Class 1,Unavailable,,http://www.adapter.com.tw,240.0,100.0,9.0
42313,HELMS-MAN industrial Co.LTD,AD3514045020G,,2009-01-13,,ZPS0004,New Zealand,China,AC-DC,240.0,0.9,MEPS 2008 (Mark III),Approved,,,Class 1,Unavailable,,http://www.helms-man.com,240.0,240.0,240.0
42314,HELMS-MAN industrial Co.LTD,AD3514060030G,,2009-01-13,,ZPS0003,New Zealand,Hong Kong,AC-DC,240.0,1.8,High Efficiency 2008 (Mark IV),Approved,,,Class 1,Unavailable,,http://www.helms-man.com,240.0,240.0,240.0
42505,TECHNICS ELECTRONIC CO LTD,AD-12MLA,,2009-02-18,,ZPS0007,"Australia,New Zealand",China,AC-DC,12.0,18.0,MEPS 2008 (Mark III),Approved,,,Class 1,Unavailable,,http://www.technicsgroup.com.tw,240.0,100.0,12.0
42556,Shenzhen Honor electronic co. ltd,ADS-18E-12 1218GPSA,,2009-01-29,,ZPS0005,New Zealand,China,AC-DC,12.0,18.0,High Efficiency 2008 (Mark IV),Approved,,,Class 1,Unavailable,,http://www.honor-cn.com,240.0,100.0,12.0
42626,FranMar,FRA024-S12,,2009-02-10,,ZPS0006,"Australia,New Zealand",China,AC-DC,12.0,24.0,High Efficiency 2008 (Mark IV),Approved,,,Class 1,Available,http://www.datamars.com,http://www.franmar.com.tw,240.0,100.0,12.0
42793,TECHNICS ELECTRONIC CO LTD,AD-12ML,,2009-02-18,,ZPS0009,"Australia,New Zealand",China,AC-DC,12.0,18.0,MEPS 2008 (Mark III),Approved,,,Class 1,Unavailable,,http://www.technicsgroup.com.tw,240.0,100.0,12.0
43285,TDC POWER PRODUCTS,SA8S-140-2600-812886,,2009-03-27,,ZPS0010,"Australia,New Zealand",China,AC-DC,14.0,1.5,High Efficiency 2008 (Mark IV),Approved,,,Class 1,Available,http://www.datamars.com,http://www.tdcpower.com/,240.0,100.0,14.0
