ApplStandard,Brand,climate_class,Country,high_efficiency,Model No,Family Name,N-Standard,Sold_in,Submit_ID,SubmitStatus,Temp_Class,total_dis_area,total_energy_cons,type,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Type,Efficiency (kWh/24h/m²),Length,Climate Class,Depth,Cabinet Description,Total Energy Consumption(kWh/24h),Cabinet Type,Star Rating,Energy Efficiency Index,Width,Net Volume,Height,Duty Type,Product Class Number
AS 1731.14:2003 - amendment 2 dated 9 July 2012,KOXKA,3,Spain,False,M61M1,,AS 1731.14 Ament 2 dated 9 July 2012,New Zealand,15551,Approved,M2,4.2,46.62,RS2 - Unlit shelves (MEPS),,,Class 3,Unavailable,,,,11.1,,,1100.0,,,,,,2500.0,,2045.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,KOXKA,3,Spain,False,M62M1,,AS 1731.14 Ament 2 dated 9 July 2012,New Zealand,15551,Approved,M2,4.2,46.62,RS2 - Unlit shelves (MEPS),,,Class 3,Unavailable,,,,11.1,,,1100.0,,,,,,2500.0,,2045.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,KOXKA,3,Spain,False,M63M1,,AS 1731.14 Ament 2 dated 9 July 2012,New Zealand,15551,Approved,M2,4.2,46.62,RS2 - Unlit shelves (MEPS),,,Class 3,Unavailable,,,,11.1,,,1100.0,,,,,,2500.0,,2045.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M1,New Zealand,False,C2.2NXLE-M,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16918,Approved,N/A,4.406,60.148,RS1 - Lit shelves (MEPS),,,Class 2,Unavailable,,,,13.6513844757149,,,1019.0,,,,,,2448.0,,2213.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M2,New Zealand,False,C2.2NXLE,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16919,Approved,N/A,4.357,47.038,RS1 - Unlit shelves (MEPS),,,Class 1,Unavailable,,,,10.7959605232958,,,1019.0,,,,,,2448.0,,2213.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M1,New Zealand,False,C6HE,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16920,Approved,N/A,4.424,59.133,RS1 - Lit shelves (MEPS),,,Class 2,Unavailable,,,,13.3664104882459,,,1184.0,,,,,,2448.0,,2210.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M1,New Zealand,False,C6LE,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16920,Approved,N/A,4.424,59.133,RS1 - Lit shelves (MEPS),,,Class 2,Unavailable,,,,13.3664104882459,,,1184.0,,,,,,2448.0,,2210.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M1,New Zealand,False,C6HE,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16921,Approved,N/A,4.424,51.225,RS1 - Unlit shelves (MEPS),,,Class 1,Unavailable,,,,11.5788878842676,,,1184.0,,,,,,2448.0,,2210.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M1,New Zealand,False,C6LE,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16921,Approved,N/A,4.424,51.225,RS1 - Unlit shelves (MEPS),,,Class 1,Unavailable,,,,11.5788878842676,,,1184.0,,,,,,2448.0,,2210.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M2,New Zealand,False,D5E,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16922,Approved,N/A,4.002,38.942,RS2 - Unlit shelves (MEPS),,,Class 3,Unavailable,,,,9.73063468265867,,,1174.0,,,,,,2448.0,,2066.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M2,New Zealand,False,D5HE,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16922,Approved,N/A,4.002,38.942,RS2 - Unlit shelves (MEPS),,,Class 3,Unavailable,,,,9.73063468265867,,,1174.0,,,,,,2448.0,,2066.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M2,New Zealand,False,D5LE,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16922,Approved,N/A,4.002,38.942,RS2 - Unlit shelves (MEPS),,,Class 3,Unavailable,,,,9.73063468265867,,,1174.0,,,,,,2448.0,,2066.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M2,New Zealand,False,D5LRE,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16922,Approved,N/A,4.002,38.942,RS2 - Unlit shelves (MEPS),,,Class 3,Unavailable,,,,9.73063468265867,,,1174.0,,,,,,2448.0,,2066.0,,
AS 1731.14:2003 - amendment 2 dated 9 July 2012,HUSSMANN IMPACT,3M1,New Zealand,False,D5GEM,,AS 1731.14 Ament 2 dated 9 July 2012,"Australia,New Zealand",16923,Approved,N/A,4.002,52.666,RS2 - Lit shelves (MEPS),,,Class 4,Unavailable,,,,13.15992003998,,,1174.0,,,,,,2448.0,,2066.0,,
